keggID	symbol	entrez
hsa00010	ACSS1	84532
hsa00010	ACSS2	55902
hsa00010	ADH1A	124
hsa00010	ADH1B	125
hsa00010	ADH1C	126
hsa00010	ADH4	127
hsa00010	ADH5	128
hsa00010	ADH6	130
hsa00010	ADH7	131
hsa00010	ADPGK	83440
hsa00010	AKR1A1	10327
hsa00010	ALDH1B1	219
hsa00010	ALDH2	217
hsa00010	ALDH3A1	218
hsa00010	ALDH3A2	224
hsa00010	ALDH3B1	221
hsa00010	ALDH3B2	222
hsa00010	ALDH7A1	501
hsa00010	ALDH9A1	223
hsa00010	ALDOA	226
hsa00010	ALDOB	229
hsa00010	ALDOC	230
hsa00010	BPGM	669
hsa00010	DLAT	1737
hsa00010	DLD	1738
hsa00010	ENO1	2023
hsa00010	ENO2	2026
hsa00010	ENO3	2027
hsa00010	ENO4	387712
hsa00010	FBP1	2203
hsa00010	FBP2	8789
hsa00010	G6PC1	2538
hsa00010	G6PC2	57818
hsa00010	G6PC3	92579
hsa00010	GALM	130589
hsa00010	GAPDH	2597
hsa00010	GAPDHS	26330
hsa00010	GCK	2645
hsa00010	GPI	2821
hsa00010	HK1	3098
hsa00010	HK2	3099
hsa00010	HK3	3101
hsa00010	HKDC1	80201
hsa00010	LDHA	3939
hsa00010	LDHAL6A	160287
hsa00010	LDHAL6B	92483
hsa00010	LDHB	3945
hsa00010	LDHC	3948
hsa00010	MINPP1	9562
hsa00010	PCK1	5105
hsa00010	PCK2	5106
hsa00010	PDHA1	5160
hsa00010	PDHA2	5161
hsa00010	PDHB	5162
hsa00010	PFKL	5211
hsa00010	PFKM	5213
hsa00010	PFKP	5214
hsa00010	PGAM1	5223
hsa00010	PGAM2	5224
hsa00010	PGAM4	441531
hsa00010	PGK1	5230
hsa00010	PGK2	5232
hsa00010	PGM1	5236
hsa00010	PGM2	55276
hsa00010	PKLR	5313
hsa00010	PKM	5315
hsa00010	TPI1	7167
hsa00020	ACLY	47
hsa00020	ACO1	48
hsa00020	ACO2	50
hsa00020	CS	1431
hsa00020	DLAT	1737
hsa00020	DLD	1738
hsa00020	DLST	1743
hsa00020	FH	2271
hsa00020	IDH1	3417
hsa00020	IDH2	3418
hsa00020	IDH3A	3419
hsa00020	IDH3B	3420
hsa00020	IDH3G	3421
hsa00020	MDH1	4190
hsa00020	MDH2	4191
hsa00020	OGDH	4967
hsa00020	OGDHL	55753
hsa00020	PC	5091
hsa00020	PCK1	5105
hsa00020	PCK2	5106
hsa00020	PDHA1	5160
hsa00020	PDHA2	5161
hsa00020	PDHB	5162
hsa00020	SDHA	6389
hsa00020	SDHB	6390
hsa00020	SDHC	6391
hsa00020	SDHD	6392
hsa00020	SUCLA2	8803
hsa00020	SUCLG1	8802
hsa00020	SUCLG2	8801
hsa00030	ALDOA	226
hsa00030	ALDOB	229
hsa00030	ALDOC	230
hsa00030	DERA	51071
hsa00030	FBP1	2203
hsa00030	FBP2	8789
hsa00030	G6PD	2539
hsa00030	GLYCTK	132158
hsa00030	GPI	2821
hsa00030	H6PD	9563
hsa00030	IDNK	414328
hsa00030	PFKL	5211
hsa00030	PFKM	5213
hsa00030	PFKP	5214
hsa00030	PGD	5226
hsa00030	PGLS	25796
hsa00030	PGM1	5236
hsa00030	PGM2	55276
hsa00030	PRPS1	5631
hsa00030	PRPS1L1	221823
hsa00030	PRPS2	5634
hsa00030	RBKS	64080
hsa00030	RGN	9104
hsa00030	RPE	6120
hsa00030	RPEL1	729020
hsa00030	RPIA	22934
hsa00030	SHPK	23729
hsa00030	TALDO1	6888
hsa00030	TKT	7086
hsa00030	TKTL1	8277
hsa00030	TKTL2	84076
hsa00040	AKR1A1	10327
hsa00040	AKR1B10	57016
hsa00040	AKR1B1	231
hsa00040	AKR1B15	441282
hsa00040	CRPPA	729920
hsa00040	CRYL1	51084
hsa00040	DCXR	51181
hsa00040	DHDH	27294
hsa00040	FGGY	55277
hsa00040	GUSB	2990
hsa00040	KL	9365
hsa00040	RPE	6120
hsa00040	RPEL1	729020
hsa00040	SORD	6652
hsa00040	UGDH	7358
hsa00040	UGP2	7360
hsa00040	UGT1A10	54575
hsa00040	UGT1A1	54658
hsa00040	UGT1A3	54659
hsa00040	UGT1A4	54657
hsa00040	UGT1A5	54579
hsa00040	UGT1A6	54578
hsa00040	UGT1A7	54577
hsa00040	UGT1A8	54576
hsa00040	UGT1A9	54600
hsa00040	UGT2A1	10941
hsa00040	UGT2A2	574537
hsa00040	UGT2A3	79799
hsa00040	UGT2B10	7365
hsa00040	UGT2B11	10720
hsa00040	UGT2B15	7366
hsa00040	UGT2B17	7367
hsa00040	UGT2B28	54490
hsa00040	UGT2B4	7363
hsa00040	UGT2B7	7364
hsa00040	XYLB	9942
hsa00051	AKR1B10	57016
hsa00051	AKR1B1	231
hsa00051	AKR1B15	441282
hsa00051	ALDOA	226
hsa00051	ALDOB	229
hsa00051	ALDOC	230
hsa00051	ENOSF1	55556
hsa00051	FBP1	2203
hsa00051	FBP2	8789
hsa00051	FCSK	197258
hsa00051	FPGT	8790
hsa00051	GFUS	7264
hsa00051	GMDS	2762
hsa00051	GMPPA	29926
hsa00051	GMPPB	29925
hsa00051	HK1	3098
hsa00051	HK2	3099
hsa00051	HK3	3101
hsa00051	HKDC1	80201
hsa00051	KHK	3795
hsa00051	MPI	4351
hsa00051	PFKFB1	5207
hsa00051	PFKFB2	5208
hsa00051	PFKFB3	5209
hsa00051	PFKFB4	5210
hsa00051	PFKL	5211
